Latitude,Longitude,Year,Temperature
-0.8,42.59,1900,80.3399
-0.8,42.59,1901,79.81925
-0.8,42.59,1902,80.01124999999999
-0.8,42.59,1903,79.95124999999999
-0.8,42.59,1904,79.30175
-0.8,42.59,1905,79.74289999999999
-0.8,42.59,1906,79.11739999999999
-0.8,42.59,1907,79.08994999999999
-0.8,42.59,1908,79.6901
-0.8,42.59,1909,79.19825
-0.8,42.59,1910,80.01725
-0.8,42.59,1911,79.1954
-0.8,42.59,1912,78.851
-0.8,42.59,1913,80.0111
-0.8,42.59,1914,80.44669999999999
-0.8,42.59,1915,80.07575
-0.8,42.59,1916,79.80695
-0.8,42.59,1917,79.7603
-0.8,42.59,1918,79.50815
-0.8,42.59,1919,80.49875
-0.8,42.59,1920,79.00205000000001
-0.8,42.59,1921,79.48835
-0.8,42.59,1922,79.3007
-0.8,42.59,1923,79.22615
-0.8,42.59,1924,79.69895
-0.8,42.59,1925,79.51714999999999
-0.8,42.59,1926,79.96535
-0.8,42.59,1927,79.7399
-0.8,42.59,1928,79.72625
-0.8,42.59,1929,80.4197
-0.8,42.59,1930,80.05205
-0.8,42.59,1931,80.5424
-0.8,42.59,1932,80.20715
-0.8,42.59,1933,80.07770000000001
-0.8,42.59,1934,80.37815
-0.8,42.59,1935,80.2238
-0.8,42.59,1936,80.34904999999999
-0.8,42.59,1937,79.91929999999999
-0.8,42.59,1938,79.6424
-0.8,42.59,1939,80.25935
-0.8,42.59,1940,80.85155
-0.8,42.59,1941,80.86280000000001
-0.8,42.59,1942,80.23205
-0.8,42.59,1943,80.4419
-0.8,42.59,1944,79.9076
-0.8,42.59,1945,80.54375
-0.8,42.59,1946,79.9256
-0.8,42.59,1947,80.2529
-0.8,42.59,1948,80.3969
-0.8,42.59,1949,80.51405
-0.8,42.59,1950,79.93835
-0.8,42.59,1951,80.06225
-0.8,42.59,1952,80.96945000000001
-0.8,42.59,1953,80.624
-0.8,42.59,1954,80.435
-0.8,42.59,1955,80.32430000000001
-0.8,42.59,1956,80.0642
-0.8,42.59,1957,80.2733
-0.8,42.59,1958,80.684
-0.8,42.59,1959,80.75495
-0.8,42.59,1960,80.1605
-0.8,42.59,1961,80.10995
-0.8,42.59,1962,80.69945
-0.8,42.59,1963,79.5749
-0.8,42.59,1964,79.38755
-0.8,42.59,1965,79.7954
-0.8,42.59,1966,79.895
-0.8,42.59,1967,80.2895
-0.8,42.59,1968,79.33115
-0.8,42.59,1969,80.57495
