Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Bangladesh,BGD,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.0620726741953
Bangladesh,BGD,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.6318660213567
Bangladesh,BGD,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.7673811170008
Bangladesh,BGD,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.2989936237228
Bangladesh,BGD,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.9984635476684
Bangladesh,BGD,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.3994776062073
Bangladesh,BGD,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.5602673427057
Bangladesh,BGD,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.2760236613659
Bangladesh,BGD,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.0852731044019
Bangladesh,BGD,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1236844126911
Bangladesh,BGD,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.9917799800261
Bangladesh,BGD,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.0301912883153
Bangladesh,BGD,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.0839671199201
Bangladesh,BGD,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.1838365214719
Bangladesh,BGD,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.2913881846816
Bangladesh,BGD,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.5295382960744
Bangladesh,BGD,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.6217254359684
Bangladesh,BGD,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.6601367442575
Bangladesh,BGD,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.8521932857033
Bangladesh,BGD,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.2363063685949
Bangladesh,BGD,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.2132595836214
Bangladesh,BGD,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.873934086195
Bangladesh,BGD,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.4744564799877
Bangladesh,BGD,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.9443804255973
Bangladesh,BGD,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.6524544825997
Bangladesh,BGD,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.0135207805178
Bangladesh,BGD,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.8906045939925
Bangladesh,BGD,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.5666436198817
Bangladesh,BGD,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.3579165706384
Bangladesh,BGD,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,79.2809403088269
Bangladesh,BGD,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,79.7879695782438
Bangladesh,BGD,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.2258584927403
